,Date,Compétition,Lieu,Adversaire,Score
149,2012-10-13,QCAN,Domicile,Côte d'Ivoire,0-2
150,2012-09-08,QCAN,Extérieur,Côte d'Ivoire,2-4
151,2012-06-09,QCDM,Extérieur,Ouganda,1-1
152,2012-06-02,QCDM,Domicile,Liberia,3-1
153,2012-05-25,AMC,Extérieur,Maroc,1-0
154,2012-02-29,AMC,Extérieur,Afrique du Sud,0-0
155,2012-01-29,CAN,Neutre,Libye,1-2
156,2012-01-25,CAN,Neutre,Guinée Equatoriale,1-2
157,2012-01-21,CAN,Neutre,Zambie,1-2
158,2012-01-15,AMC,Domicile,Kenya,1-0
159,2012-01-12,AMC,Domicile,Soudan,1-0
160,2011-11-11,AMC,Neutre,Guinée,4-1
161,2011-10-09,QCAN,Extérieur,Ile Maurice,2-0
162,2011-09-11,QCAN,Domicile,RD Congo,2-0
